3.252032520325203249e-03 3.478260869565217520e-03 7.485465116279070574e-02 1.826054216867470034e-02 1.963663057441732140e-02 4.970178926441351508e-02 1.678979180658159848e-02 6.800188887538687055e-02 1.969124366363447232e-01 3.543586109142452282e-04 5.405947210157033833e-01 8.255502778415512166e-01 9.000000000000000000e+01
5.420054200542005415e-04 0.000000000000000000e+00 1.660206718346253218e-01 3.746234939759036237e-02 1.725087171958157584e-02 1.988071570576540811e-02 2.014775016789791678e-02 1.695277534455549157e-02 2.368779945837094780e-02 7.087172218284903480e-04 6.264617440694954589e-03 5.046079569897266026e-01 8.800000000000000000e+01
3.360433604336043184e-02 1.339130434782608847e-01 2.985303617571059553e-01 4.743975903614457840e-02 2.917966599376032449e-02 6.958250497017891278e-02 2.350570852921423509e-02 1.946919118371767121e-01 1.484385806541212438e-01 1.488306165839830154e-03 1.678917474106247920e-02 5.860363723901506061e-01 8.500000000000000000e+01
2.710027100271002708e-03 0.000000000000000000e+00 3.724160206718346577e-01 4.706325301204819511e-02 3.119838502477519093e-02 4.920477137176938048e-02 4.331766286098052282e-02 2.076136086109284795e-01 9.636330810360391186e-02 0.000000000000000000e+00 1.486802539258269204e-02 4.335817152842944555e-01 8.100000000000000000e+01
2.276422764227642448e-02 9.565217391304348116e-02 3.100775193798449569e-01 4.574548192771084321e-02 4.349421912277481872e-02 1.292246520874751337e-01 7.723304231027534883e-02 7.798181660571626428e-02 2.931474203180334803e-01 8.504606661941886128e-04 2.305379218175743553e-02 4.519480114212603983e-01 7.900000000000000000e+01
2.710027100271002708e-03 1.739130434782608760e-03 1.278262273901808743e-01 2.371987951807228920e-02 1.468159295283538203e-02 1.988071570576540811e-02 3.022162525184687865e-02 8.704818096787843296e-02 5.862537323796958300e-02 4.252303330970943606e-04 1.867691279652522740e-01 4.505651562399000110e-01 9.200000000000000000e+01
1.626016260162601625e-03 0.000000000000000000e+00 4.247416020671834769e-02 1.110692771084337456e-02 7.340796476417690147e-03 1.491053677932405452e-01 5.036937541974479543e-02 3.451076662928762029e-02 2.179959725019096212e-02 0.000000000000000000e+00 1.954560641496825776e-02 8.053660308891151809e-01 8.200000000000000000e+01
3.794037940379403791e-03 8.695652173913043584e-03 9.948320413436692600e-02 4.405120481927710802e-02 2.073775004587997961e-02 1.988071570576540811e-02 1.007387508394895839e-02 2.842650584573682693e-01 3.726363446982848826e-01 1.346562721474131672e-03 2.068994320080187188e-01 4.623229916391202732e-01 9.000000000000000000e+01
8.617886178861788871e-02 6.956521739130434867e-02 1.884689922480620172e-01 5.515813253012048778e-02 4.679757753716277946e-02 4.970178926441351508e-02 1.678979180658159848e-02 9.503631889378083564e-02 1.155208666064856671e-01 6.378454996456413241e-04 4.017707985299030782e-02 4.768055242880101519e-01 8.700000000000000000e+01
5.420054200542005415e-04 0.000000000000000000e+00 2.594476744186046679e-01 4.988704819277108710e-02 2.991374564140208969e-02 4.970178926441351508e-02 5.372733378106112068e-02 1.579336526582992006e-01 7.065176029442399308e-02 0.000000000000000000e+00 4.376879385232208819e-02 4.993640738503511978e-01 8.600000000000000000e+01
