4.951645186508460417e-01 6.148405315021308049e-01 6.494121913789470124e-01 9.170521165227554228e-01 8.145410619299486843e-01 4.918289656055986336e-01 7.114283026475363148e-01 5.197814025636701141e-01 5.365241600000000277e-01
6.147295210151054734e-01 4.040591298301109413e-01 7.002764686413732731e-01 4.144259287486967702e-02 2.639152994382483186e-01 1.189183009077825481e-01 1.694273033369301240e-01 2.712343016727956080e-01 3.080143000000000186e-01
9.976077272415595498e-01 8.783781740412999195e-02 5.251332185715239520e-01 9.563018173711680392e-01 8.658301434546866737e-01 8.854733110096613125e-02 9.976014635332012270e-01 2.010655688458897195e-01 5.188997800000000327e-01
5.634800256525492879e-01 7.868741134948757932e-01 6.823850893983718358e-02 4.743790503360855726e-01 1.891073073553168893e-01 7.641711595833905468e-01 2.276206331694398122e-01 7.962477241379661841e-01 4.941507900000000064e-01
7.099934385194814901e-01 5.383796963224241061e-01 4.972019624594103404e-01 7.066260576022395101e-01 6.995579868063925844e-01 2.940969634570091973e-01 9.196321874794561868e-01 2.133486742643733725e-01 4.702176499999999870e-01
9.818274175277097449e-01 4.308574565178159843e-01 6.556762959352170350e-01 6.805829118219350882e-01 9.457900334823847732e-01 6.214797975313252065e-01 9.762693815400684816e-01 7.670934862992095926e-02 2.851703199999999772e-01
3.633586420829523767e-01 4.508782387430223526e-01 9.748206304242645892e-01 1.304008925812794040e-01 9.345326532121451812e-01 6.463638631984900407e-01 7.483764768204668183e-01 3.723641078534816184e-01 5.274397199999999453e-01
5.144410590787276139e-01 9.129712008413738422e-01 5.132711569100082416e-01 5.412357508747033252e-01 7.512268549755947156e-01 7.741866385078464141e-01 7.297151328065965004e-02 5.631415538560526901e-01 1.117762799999999945e+00
5.719813544701375374e-01 6.808267801019711740e-01 7.145062475387208289e-01 9.638420708884262167e-01 2.534702164609739516e-01 5.845758696057975490e-01 8.532469874637294005e-02 4.565599331944460437e-01 5.745679000000000203e-01
5.813879969727802077e-01 3.451442463232947677e-01 6.707489397021734190e-01 1.578888945957583889e-01 3.336637099266769324e-01 5.483672595388389137e-01 6.770400954677491256e-01 5.376969687432245903e-01 7.901928400000000074e-01
6.673460880467154688e-01 9.856437620870059924e-01 2.855670158554209359e-01 3.664104869575511847e-01 4.503346853688194873e-03 1.337973879884093442e-01 2.854183869012950625e-01 1.430181742121616195e-01 6.793893399999999527e-01
2.599239814345627453e-01 9.894296007532838999e-01 9.195049056232831308e-01 7.305371017225571473e-01 3.853701553295254545e-01 1.021278530441730448e-01 1.943185897081831093e-01 9.556193444306819718e-01 5.775139099999999637e-01
2.144992293475554423e-01 6.130540922637972567e-01 8.775941695644411400e-01 4.091152210690347513e-01 9.438719200810806731e-01 9.579706304465924749e-01 2.882034868904551628e-01 6.815859323517948765e-01 5.414034100000000294e-01
